,Name_submitted,Accepted_name,Habit,NativeStatus,n_nurseries,StatesSold,NativeRange,StatesRegulated,P_conventional,P_native,Rank
258,Agastache nepetoides,Agastache nepetoides,Forb/herb,EFNative,8,"PA, VA, NJ","IL, IA, KS, MN, MO, NE, OK, SD, WI, CT, IN, MA, VT, TX, AL, AR, GA, KY, MD, TN",NA,0,0.096385542,258
259,Alisma subcordatum,Alisma subcordatum,Forb/herb,EFNative,8,"PA, MD, CT, MA, VA","CO, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, NM, TX, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0,0.096385542,259
260,Dicentra eximia,Dicentra eximia,Forb/herb,EFNative,53,"OH, NY, MD, RI, PA, MA, CT, VT, ME, DE, NJ, NH, WV, VA","NJ, NY, PA, WV, KY, MD, NC, TN, VA",NA,0.1328125,0.228915663,260
261,Quercus velutina,Quercus velutina,Tree,EFNative,29,"OH, MD, MA, NY, PA, VA, NJ, DE, ME","IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.0625,0.156626506,261
262,Myrica cerifera,Myrica cerifera,Shrub,EFNative,25,"MD, VA, DE, PA","OK, NJ, TX, AL, AR, DE, FL, GA, LA, MD, MS, NC, SC, VA",NA,0.05078125,0.144578313,262
263,Carex radiata,Carex radiata,Grass,EFNative,17,"PA, MA, VA, KY, DE, MD, NJ","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, VT, WV, AL, AR, DE, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.02734375,0.120481928,263
264,Eurybia spectabilis,Eurybia spectabilis,Forb/herb,EFNative,13,"PA, MD, VA, NJ, MA, NH","CT, MA, NJ, NY, PA, RI, AL, DE, GA, MD, NC, SC, VA",NA,0.015625,0.108433735,264
265,Senna marylandica,Senna marylandica,Forb/herb,EFNative,13,"MD, RI, PA, VA, NJ","IL, WI, NY, TX, AL, FL, KY, MD, TN",NA,0.015625,0.108433735,265
266,Elymus riparius,Elymus riparius,Grass,EFNative,9,"MA, NJ, PA, VA, MD","IL, IA, MN, MO, WI, CT, IN, ME, MA, NH, NJ, NY, OH, PA, RI, VT, WV, AR, DE, FL, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.00390625,0.096385542,266
267,Ionactis linariifolia,Ionactis linariifolia,Forb/herb,EFNative,9,"ME, MA, MD, CT, PA, NH, NJ","IL, IA, KS, MO, OK, WI, CT, IN, ME, MA, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.00390625,0.096385542,267
268,Oenothera biennis,Oenothera biennis,Forb/herb,EFNative,9,"VA, MD, PA, NJ","ID, MT, OR, WA, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, CA, NV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.00390625,0.096385542,268
269,Woodwardia areolata,Woodwardia areolata,Forb/herb,EFNative,9,"MD, PA, DE, VA","IL, MO, OK, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.00390625,0.096385542,269
270,Pinus rigida,Pinus rigida,Tree,EFNative,26,"MD, NJ, MA, CT, PA, ME, NH, VA","CT, ME, MA, NH, NJ, NY, OH, PA, RI, VT, WV, GA, KY, MD, NC, SC, TN, VA",NA,0.0546875,0.144578313,270
271,Anemonella thalictroides,Anemonella thalictroides,Forb/herb,EFNative,22,"RI, PA, CT, VA, ME, DE, OH, VT, NH, WV, NJ","IL, IA, KS, MN, MO, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.04296875,0.13253012,271
272,Acer pensylvanicum,Acer pensylvanicum,Shrub,EFNative,18,"PA, CT, MD, DE, VA, ME, MA, NY","MN, WI, IN, NY, OH, VT, GA, KY, MD, TN",NA,0.03125,0.120481928,272
273,Baptisia alba,Baptisia alba,Forb/herb,EFNative,18,"MA, MD, PA, DE, VT, VA","IL, IA, KS, MN, MO, OK, WI, IN, MI, NY, OH, TX, AL, AR, FL, GA, KY, LA, MS, NC, SC, TN",NA,0.03125,0.120481928,273
274,Thalictrum pubescens,Thalictrum pubescens,Forb/herb,EFNative,14,"MA, VA, CT, ME, PA, RI, NJ, NH","IL, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.01953125,0.108433735,274
275,Apios americana,Apios americana,Forb/herb,EFNative,10,"MD, VA, DE, PA, WV, NJ","CO, IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.0078125,0.096385542,275
276,Calamagrostis canadensis,Calamagrostis canadensis,Grass,EFNative,10,"MA, MD, PA, VA, NJ","AK, CO, ID, MT, OR, WA, WY, IL, IA, KS, MN, MO, ND, NE, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, CA, NV, UT, NM, DE, GA, KY, MD, NC, TN, VA",NA,0.0078125,0.096385542,276
277,Carex comosa,Carex comosa,Grass,EFNative,10,"NJ, MD, MA, PA, VA","ID, IL, IA, MN, WI, CT, IN, ME, MA, MI, NJ, NY, OH, PA, VT, CA, TX, AL, AR, MD, MS, NC, SC, TN, VA",NA,0.0078125,0.096385542,277
278,Epilobium angustifolium,Epilobium angustifolium,Forb/herb,EFNative,10,"MA, PA, NH, RI, VT, VA, ME","AK, CO, ID, MT, OR, WA, WY, IL, IA, MN, ND, NE, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, CA, NV, UT, NM, AR, DE, MD, NC, TN, VA",NA,0.0078125,0.096385542,278
279,Typha angustifolia,Typha angustifolia,Forb/herb,EFNative,10,"MD, MA, VA, NJ","CO, OR, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, CA, NV, NM, AR, DE, KY, MD, MS, NC, SC, TN, VA","IN, OH, WA, WI",0.0078125,0.096385542,279
280,Verbena stricta,Verbena stricta,Forb/herb,EFNative,10,"MA, MD, PA, VA, VT, ME","CO, MT, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, MA, MI, NJ, NY, OH, PA, VT, WV, AZ, NV, UT, NM, TX, AL, AR, DE, GA, KY, MS, NC, TN",NA,0.0078125,0.096385542,280
281,Gillenia trifoliata,Gillenia trifoliata,Forb/herb,EFNative,47,"MA, NY, RI, PA, CT, MD, VT, DE, VA, ME, OH, NJ, WV","IL, MO, IN, MA, MI, NJ, NY, OH, PA, RI, WV, AL, AR, DE, GA, KY, MD, NC, SC, TN, VA",NA,0.1171875,0.204819277,281
282,Monarda bradburiana,Monarda bradburiana,Forb/herb,EFNative,35,"MA, PA, MD, RI, ME, DE, VA, VT, WV, NJ, NY, CT, OH","IL, KS, MO, NE, OK, IN, TX, AL, AR, KY, TN",NA,0.08203125,0.168674699,282
283,Rubus occidentalis,Rubus occidentalis,Shrub,EFNative,27,"MD, PA, NY, CT, ME, VT, VA, MA, OH, NJ","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.05859375,0.144578313,283
284,Nyssa sylvatica,Nyssa sylvatica,Tree,EFNative,121,"OH, MD, KY, NY, NJ, VA, MA, PA, CT, RI, DE, VT, ME, NH","IL, KS, MO, OK, WI, CT, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, TX, AL, AR, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.3359375,0.421686747,284
285,Silphium laciniatum,Silphium laciniatum,Forb/herb,EFNative,15,"PA, CT, MD, RI, OH, NJ, VA, VT","IL, IA, KS, MN, MO, NE, OK, SD, WI, IN, MI, NY, OH, PA, NM, TX, AL, AR, KY, LA, MS, TN",NA,0.0234375,0.108433735,285
286,Amelanchier laevis,Amelanchier laevis,Shrub,EFNative,60,"OH, MD, NJ, MA, RI, PA, NY, VT, VA, ME, DE, NH","IL, IA, MN, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, DE, GA, KY, MD, SC, TN, VA",NA,0.15625,0.240963855,286
287,Solidago canadensis,Solidago canadensis,Forb/herb,EFNative,11,"PA, MD, ME, DE, MA, NJ, VA","AK, CO, ID, MT, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, CA, NV, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.01171875,0.096385542,287
288,Trillium sessile,Trillium sessile,Forb/herb,EFNative,11,"PA, CT, VA, OH, WV","IL, KS, MO, OK, IN, MI, NY, OH, PA, WV, AL, AR, KY, MD, NC, TN, VA",NA,0.01171875,0.096385542,288
289,Carya alba,Carya alba,Tree,EFNative,7,"MD, VA, PA, MA, NJ","IL, IA, KS, MO, OK, CT, IN, MA, NJ, NY, OH, PA, RI, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0,0.084337349,289
290,Cirsium discolor,Cirsium discolor,Forb/herb,EFNative,7,"MA, NH, VA, RI, NJ","IL, IA, KS, MN, MO, NE, SD, WI, CT, IN, ME, MA, MI, NH, NY, OH, PA, RI, VT, WV, AL, AR, DE, GA, KY, LA, MD, NC, SC, TN, VA",NA,0,0.084337349,290
291,Dichanthelium clandestinum,Dichanthelium clandestinum,Grass,EFNative,7,"MD, VA, NJ, PA","IL, IA, KS, MO, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0,0.084337349,291
292,Eupatorium serotinum,Eupatorium serotinum,Forb/herb,EFNative,7,"MD, VA, NJ","IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, MA, MI, NJ, NY, OH, PA, RI, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0,0.084337349,292
293,Hypericum ascyron,Hypericum ascyron,Forb/herb,EFNative,7,"MA, NH, MD, PA, NJ","IL, IA, KS, MN, MO, WI, CT, IN, ME, MA, MI, NH, NY, OH, PA, VT, MD",NA,0,0.084337349,293
294,Monarda clinopodia,Monarda clinopodia,Forb/herb,EFNative,7,"PA, MD, VA","IL, CT, IN, NJ, NY, OH, PA, WV, AL, DE, KY, MD, NC, TN, VA",NA,0,0.084337349,294
295,Packera anonyma,Packera anonyma,Forb/herb,EFNative,7,"PA, MD, VA, NJ","NY, OH, PA, WV, AL, AR, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0,0.084337349,295
296,Rubus allegheniensis,Rubus allegheniensis,Shrub,EFNative,7,"MD, CT, PA, OH, NJ, VA","MT, IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, RI, VT, WV, AL, AR, DE, GA, KY, MD, NC, SC, TN, VA",NA,0,0.084337349,296
297,Ruellia caroliniensis,Ruellia caroliniensis,Forb/herb,EFNative,7,"PA, MD, VA","OK, IN, NJ, OH, PA, WV, TX, AL, DE, FL, GA, LA, MD, MS, NC, SC, TN, VA",NA,0,0.084337349,297
298,Prunus virginiana,Prunus virginiana,Shrub,EFNative,48,"OH, MD, KY, NJ, PA, MA, NY, ME, CT, VT, NH, VA","CO, ID, MT, OR, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NY, OH, PA, RI, VT, WV, AZ, CA, NV, UT, NM, TX, AR, DE, GA, KY, MD, NC, TN, VA",NA,0.12109375,0.204819277,298
299,Trillium grandiflorum,Trillium grandiflorum,Forb/herb,EFNative,20,"MA, RI, MD, CT, DE, PA, VA, ME, VT, OH, WV","IL, IA, MN, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, VT, WV, AL, DE, GA, KY, MD, NC, SC, TN, VA",NA,0.0390625,0.120481928,299
300,Ostrya virginiana,Ostrya virginiana,Shrub,EFNative,65,"OH, MD, NY, NJ, MA, PA, VT, RI, VA, CT, ME, DE, NH","WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.171875,0.253012048,300
301,Liatris aspera,Liatris aspera,Forb/herb,EFNative,16,"VA, VT, PA, NH, MD, DE, NJ, MA, RI","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, IN, MI, OH, WV, TX, AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA",NA,0.02734375,0.108433735,301
302,Penstemon smallii,Penstemon smallii,Forb/herb,EFNative,16,"NJ, VA, MD, MA, PA, DE, WV","AL, GA, NC, SC, TN",NA,0.02734375,0.108433735,302
303,Capnoides sempervirens,Capnoides sempervirens,Forb/herb,EFNative,8,"MA, PA, ME, VA","AK, MT, IL, IA, MN, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, GA, KY, MD, NC, SC, TN, VA",NA,0.00390625,0.084337349,303
304,Carex lupulina,Carex lupulina,Grass,EFNative,8,"PA, VA, MA, MD, NJ","IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, TN, VA",NA,0.00390625,0.084337349,304
305,Clinopodium vulgare,Clinopodium vulgare,Forb/herb,EFNative,8,"PA, VA, MD, NJ","AZ, AR, CO, CT, DE, IL, IN, IA, KS, KY, ME, MD, MA, MI, MN, NH, NJ, NM, NY, NC, OH, OR, PA, RI, TN, UT, VT, VA, WA, WV, WI",NA,0.00390625,0.084337349,305
306,Dioscorea villosa,Dioscorea villosa,Forb/herb,EFNative,8,"MA, PA, VA, DE, NJ","IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, MA, MI, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.00390625,0.084337349,306
307,Helianthus giganteus,Helianthus giganteus,Forb/herb,EFNative,8,"MD, PA, VA, ME","IL, IA, KS, MN, WI, CT, IN, ME, MA, MI, NJ, NY, OH, PA, VT, WV, DE, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.00390625,0.084337349,307
308,Quercus ilicifolia,Quercus ilicifolia,Shrub,EFNative,8,"MA, PA, CT, ME","CT, ME, MA, NH, NJ, NY, PA, RI, VT, WV, DE, KY, MD, NC, VA",NA,0.00390625,0.084337349,308
309,Rhexia virginica,Rhexia virginica,Forb/herb,EFNative,8,"MA, PA, VA, WV, NJ","IL, IA, MO, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.00390625,0.084337349,309
310,Viburnum dentatum,Viburnum dentatum,Shrub,EFNative,139,"OH, MD, KY, NY, NJ, PA, MA, RI, CT, ME, VT, VA, NH, DE","IL, IA, MO, CT, IN, ME, NJ, OH, PA, WV, DE, KY, MD, TN, VA",NA,0.390625,0.469879518,310
311,Pachysandra procumbens,Pachysandra procumbens,Forb/herb,EFNative,41,"MD, MA, RI, PA, OH, ME, DE, VA, CT, VT, WV, NH","WV, AL, FL, GA, KY, LA, MS, NC, SC, TN",NA,0.1015625,0.180722892,311
312,Carex laxiculmis,Carex laxiculmis,Grass,EFNative,33,"NY, MD, CT, NJ, VA, PA, MA, VT, DE, ME, WV, OH","IL, IA, MN, MO, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, GA, KY, MD, NC, SC, TN, VA",NA,0.078125,0.156626506,312
313,Uvularia grandiflora,Uvularia grandiflora,Forb/herb,EFNative,21,"PA, CT, MD, DE, VA, VT, ME, OH, NH, WV","IL, IA, KS, MN, MO, ND, OK, SD, WI, CT, IN, MA, MI, NH, NY, OH, PA, VT, WV, AL, AR, GA, KY, MD, MS, NC, TN, VA",NA,0.04296875,0.120481928,313
314,Bignonia capreolata,Bignonia capreolata,Vine,EFNative,17,"PA, CT, VA, DE, MD, NJ","IL, MO, OK, IN, OH, WV, TX, AL, AR, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.03125,0.108433735,314
315,Liatris ligulistylis,Liatris ligulistylis,Forb/herb,EFNative,13,"MA, MD, OH, CT, PA, ME, VA, NJ","CO, MT, WY, IA, MN, ND, SD, WI, NM",NA,0.01953125,0.096385542,315
316,Carex blanda,Carex blanda,Grass,EFNative,9,"PA, NJ, VA, NH, MD","CO, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.0078125,0.084337349,316
317,Carex stipata,Carex stipata,Grass,EFNative,9,"NJ, VA, PA, MA, CT, MD, RI","AK, CO, ID, MT, OR, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, CA, UT, NM, TX, AL, DE, FL, GA, KY, MD, NC, SC, TN, VA",NA,0.0078125,0.084337349,317
318,Euonymus atropurpureus,Euonymus atropurpureus,Shrub,EFNative,9,"PA, MD, DE, OH","MT, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.0078125,0.084337349,318
319,Eupatorium rotundifolium,Eupatorium rotundifolium,Forb/herb,EFNative,9,"MD, VA, ME, PA, NH","MO, OK, CT, IN, MA, NH, NJ, NY, OH, PA, RI, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.0078125,0.084337349,319
320,Euthamia caroliniana,Euthamia caroliniana,Forb/herb,EFNative,9,"PA, MD, NJ, VA","CT, MA, NH, NJ, NY, PA, RI, WV, AL, DE, FL, GA, LA, MD, MS, NC, SC, VA",NA,0.0078125,0.084337349,320
321,Helianthus maximiliani,Helianthus maximiliani,Forb/herb,EFNative,9,"MA, MD, PA, VT, VA, ME, NJ","CO, ID, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NJ, NY, OH, PA, WV, CA, UT, TX, AL, AR, DE, KY, MD, MS, NC, SC, TN, VA",NA,0.0078125,0.084337349,321
322,Hydrophyllum virginianum,Hydrophyllum virginianum,Forb/herb,EFNative,9,"PA, MD, VA, WV, NJ","IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, MA, MI, NH, NJ, NY, OH, PA, VT, WV, AR, DE, KY, MD, NC, TN, VA",NA,0.0078125,0.084337349,322
323,Nymphaea odorata,Nymphaea odorata,Forb/herb,EFNative,9,"PA, ME, VA, MA, MD, NJ","IL, IA, KS, MN, MO, NE, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",WA,0.0078125,0.084337349,323
324,Salix sericea,Salix sericea,Shrub,EFNative,9,"MA, CT, PA, VA, MD","IL, IA, MN, MO, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, GA, KY, MD, NC, SC, TN, VA",NA,0.0078125,0.084337349,324
325,Typha latifolia,Typha latifolia,Forb/herb,EFNative,9,"RI, MD, MA, NJ, VA","AK, CO, ID, MT, OR, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AZ, CA, NV, UT, NM, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.0078125,0.084337349,325
326,Cornus florida,Cornus florida,Shrub,EFNative,144,"OH, MD, KY, MA, PA, NY, NJ, VA, RI, CT, NH, VT, DE, WV, ME","IL, KS, MO, OK, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.40625,0.481927711,326
327,Osmunda regalis,Osmunda regalis,Forb/herb,EFNative,71,"DE, NY, MD, OH, MA, RI, PA, NJ, VA, CT, ME, VT, NH, WV","AL, AR, CT, DE, FL, GA, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, NH, NJ, NY, NC, OH, OK, PA, RI, SC, TN, TX, VT, VA, WV, WI",NA,0.19140625,0.265060241,327
328,Quercus coccinea,Quercus coccinea,Tree,EFNative,71,"OH, MD, PA, NJ, MA, VA, NY, CT, DE, RI, NH, ME","IL, MO, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.19140625,0.265060241,328
329,Iris virginica,Iris virginica,Forb/herb,EFNative,14,"PA, MD, DE, VA, NY, WV","IL, IA, KS, MN, MO, NE, OK, WI, IN, MI, NY, OH, PA, WV, TX, AL, AR, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.0234375,0.096385542,329
330,Elephantopus carolinianus,Elephantopus carolinianus,Forb/herb,EFNative,10,"VA, MD, DE, PA, NJ, WV","IL, KS, MO, OK, IN, NJ, OH, PA, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.01171875,0.084337349,330
331,Goodyera pubescens,Goodyera pubescens,Forb/herb,EFNative,10,"RI, PA, DE, VA, WV","IL, IA, MN, MO, OK, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, AL, AR, DE, FL, GA, KY, MD, NC, SC, TN, VA",NA,0.01171875,0.084337349,331
332,Lysimachia ciliata,Lysimachia ciliata,Forb/herb,EFNative,10,"RI, VA, CT, PA, VT, MA, NJ","CO, ID, MT, OR, WA, WY, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, UT, NM, AL, AR, DE, FL, GA, KY, MD, MS, NC, SC, TN, VA",NA,0.01171875,0.084337349,332
333,Carex intumescens,Carex intumescens,Grass,EFNative,6,"NJ, MD, CT, VA, MA","IL, IA, MN, MO, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0,0.072289157,333
334,Carex squarrosa,Carex squarrosa,Grass,EFNative,6,"NJ, PA, VA, MD","IL, IA, KS, MN, MO, NE, OK, CT, IN, MA, MI, NJ, NY, OH, PA, WV, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0,0.072289157,334
335,Impatiens capensis,Impatiens capensis,Forb/herb,EFNative,6,"MA, PA, VA","CO, ID, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",WA,0,0.072289157,335
336,Lobelia spicata,Lobelia spicata,Forb/herb,EFNative,6,"CT, PA, RI, NJ, VA","MT, IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0,0.072289157,336
337,Menispermum canadense,Menispermum canadense,Vine,EFNative,6,"VA, PA, NJ","IL, IA, KS, MN, MO, ND, NE, OK, SD, WI, CT, IN, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, FL, GA, KY, MD, MS, NC, SC, TN, VA",NA,0,0.072289157,337
338,Micranthes pensylvanica,Micranthes pensylvanica,Forb/herb,EFNative,6,"PA, MA, NJ, VA","IL, IA, MN, MO, WI, CT, IN, ME, MA, MI, NH, NJ, NY, OH, PA, RI, VT, WV, DE, MD, NC, TN, VA",NA,0,0.072289157,338
339,Pinus echinata,Pinus echinata,Tree,EFNative,6,"PA, VA, NJ","IL, MO, OK, CT, NJ, NY, OH, PA, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0,0.072289157,339
340,Silene stellata,Silene stellata,Forb/herb,EFNative,6,"NH, PA, MD, VA","IL, IA, KS, MN, MO, NE, OK, SD, WI, CT, IN, MI, NJ, NY, OH, PA, RI, VT, WV, TX, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0,0.072289157,340
341,Symphyotrichum patens,Symphyotrichum patens,Forb/herb,EFNative,6,"VA, CT, PA, RI, NJ","IL, KS, MO, OK, CT, IN, ME, MA, NH, NJ, NY, OH, PA, RI, WV, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0,0.072289157,341
342,Symphyotrichum prenanthoides,Symphyotrichum prenanthoides,Forb/herb,EFNative,6,"PA, MD, VA, NJ","IL, IA, MN, WI, CT, IN, MA, MI, NJ, NY, OH, PA, WV, DE, KY, MD, NC, VA",NA,0,0.072289157,342
343,Carex amphibola,Carex amphibola,Grass,EFNative,27,"RI, DE, ME, MD, VA, MA, PA, CT, NJ, VT","IL, MO, OK, CT, IN, MA, MI, NJ, NY, OH, PA, WV, TX, AL, AR, DE, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.0625,0.13253012,343
344,Rhododendron arborescens,Rhododendron arborescens,Shrub,EFNative,27,"NY, PA, CT, ME, MA, NJ, DE, MD, VA, VT, NH","PA, WV, AL, GA, KY, MD, NC, SC, TN, VA",NA,0.0625,0.13253012,344
345,Pinus taeda,Pinus taeda,Tree,EFNative,23,"MD, VA, DE, PA","OK, TX, AL, AR, DE, FL, GA, KY, LA, MD, MS, NC, SC, TN, VA",NA,0.05078125,0.120481928,345
346,Actaea racemosa,Actaea racemosa,Forb/herb,EFNative,68,"MA, NY, MD, NJ, RI, PA, CT, VA, ME, DE, VT, OH, WV, NH","IL, MO, CT, IN, MA, NJ, NY, OH, PA, WV, AL, AR, DE, GA, KY, MD, NC, SC, TN, VA",NA,0.18359375,0.253012048,346
347,Trillium luteum,Trillium luteum,Forb/herb,EFNative,19,"DE, PA, ME, VA, CT, OH, WV","AL, GA, KY, NC, TN",NA,0.0390625,0.108433735,347
