paperid,author,title,year,journal,volume,issue,pages,doi,WoS,type
ADAI2009,"adair, robin j.; burgess, treena; serdani, maryna; barber, paul",fungal associations in asphondylia (diptera: cecidomyiidae) galls from australia and south africa: implications for biological control of invasive acacias,2009,fungal ecology,2,3,121–134,10.1016/j.funeco.2009.02.003,Y,article
ADAL2016,"adalsteinsson, solny a.; d'amico, vincent; shriver, w. gregory; brisson, dustin; buler, jeffrey j.",scale-dependent effects of nonnative plant invasion on hostseeking tick abundance,2016,ecosphere,7,3,1317,10.1002/ecs2.1317,Y,article
ADAM2005,"adams, carrie reinhardt; galatowitsch, susan m.",phalaris arundinacea (reed canary grass): rapid growth and growth pattern in conditions approximating newly restored wetlands,2005,Écoscience,12,4,569–573,10.2980/i1195-6860-12-4-569.1,Y,article
ADAM2006,"adams, carrie reinhardt; galatowitsch, susan m.",increasing the effectiveness of reed canary grass (phalaris arundinacea l.) control in wet meadow restorations,2006,restoration ecology,14,3,441–451,10.1111/j.1526-100x.2006.00152.x,Y,article
ADAM2009A,"adams, sheherezade n.; engelhardt, katharina a.m.",diversity declines in microstegium vimineum (japanese stiltgrass) patches,2009,biological conservation,142,5,1003–1010,10.1016/j.biocon.2009.01.009,Y,article
ADAM2009B,"adams, jonathan m.; fang, wei; callaway, ragan m.; cipollini, don; newell, elizabeth",a cross-continental test of the enemy release hypothesis: leaf herbivory on acer platanoides (l.) is three times lower in north america than in its native europe,2009,biological invasions,11,4,1005–1016,10.1007/s10530-008-9312-4,Y,article
ADAM2013,"adams, melinda m.; benjamin, tamara j.; emery, nancy c.; brouder, sylvie j.; gibson, kevin d.",the effect of biochar on native and invasive prairie plant species,2013,invasive plant science and management,6,2,197–207,10.1614/ipsm-d-12-00058.1,Y,article
ADAM2015A,"adams, vanessa m.; setterfield, samantha a.",optimal dynamic control of invasions: applying a systematic conservation approach,2015,ecological applications,25,4,1131–1141,10.1890/14-1062.1,Y,article
ADAM2015B,"adams, vanessa m.; petty, aaron m.; douglas, michael m.; buckley, yvonne m.; ferdinands, keith b.; okazaki, tomoko; ko, dongwook w.; setterfield, samantha a.","distribution, demography and dispersal model of spatial spread of invasive plant populations with limited data",2015,methods in ecology and evolution,6,7,782–794,10.1111/2041-210x.12392,Y,article
ADAM2015C,"reinhardt adams, carrie; wiese, christine; lee, leah c.",native recolonization following control of invasive ruellia simplex in a cypress floodplain forest,2015,applied vegetation science,18,4,694–704,10.1111/avsc.12187,Y,article
ADAM2016,"adams, janine; wyk, ernita; riddin, taryn",first record of spartina alterniflora in southern africa indicates adaptive potential of this saline grass,2016,biological invasions,18,8,2153–2158,10.1007/s10530-015-0957-5,Y,article
ADEB2011,"adebayo, abisola; briski, elizabeta; kalaci, odion; hernandez, marco; ghabooli, sara; beric, boris; chan, farrah; zhan, aibin; fifield, eric; leadley, todd; macisaac, hugh",water hyacinth (eichhornia crassipes) and water lettuce (pistia stratiotes) in the great lakes: playing with fire?,2011,aquatic invasions,6,1,91-96,10.3391/ai.2011.6.1.11,N,article
ADER2014,"aderogba, m. a.; mcgaw, l. j.; bagla, v. p.; eloff, j. n.; abegaz, b. m.","in vitro antifungal activity of the acetone extract and two isolated compounds from the weed, pseudognaphalium luteoalbum",2014,south african journal of botany,94,,74–78,10.1016/j.sajb.2014.06.003,Y,article
ADHI2020,"adhikari, a; rew, lj; mainali, kp; adhikari, s; maxwell, bd","future distribution of invasive weed species across the major road network in the state of montana, usa",2020,regional environmental change,20,2,60,10.1007/s10113-020-01647-0,Y,article
ADKI2011,"adkins, edith; cordell, susan; drake, donald r.","role of fire in the germination ecology of fountain grass (pennisetum setaceum), an invasive african bunchgrass in hawai'i",2011,pacific science,65,1,17–25,10.2984/65.1.017,N,article
ADKI2013,"adkins, joshua k.; barnes, thomas g.","herbicide treatment and timing for controlling kentucky bluegrass (poa pratensis) and tall fescue (festuca arundinacea) in cool season grasslands of central kentucky, usa",2013,natural areas journal,33,1,31–38,10.3375/043.033.0104,Y,article
ADLE1998,"adler, peter b.; d'antonio, carla m.; tunison, j. timothy",understory succession following a dieback of myrica faya in hawai'i volcanoes national park,1998,pacific science,52,1,69–78,,Y,article
AFFR2010,"affre, laurence; suehs, carey m.; charpentier, stéphane; vilà, montserrat; brundu, giuseppe; lambdon, philip; traveset, anna; hulme, philip e.",consistency in the habitat degree of invasion for three invasive plant species across mediterranean islands,2010,biological invasions,12,8,2537–2548,10.1007/s10530-009-9662-6,Y,article
AFKH2016,"afkhami, michelle e.; strauss, sharon y.",native fungal endophytes suppress an exotic dominant and increase plant diversity over small and large spatial scales,2016,ecology,97,5,1159–1169,10.1890/15-1166.1,Y,article
AGJE2016,"agjee, na'eem hoosen; ismail, riyad; mutanga, onisimo",identifying relevant hyperspectral bands using boruta: a temporal analysis of water hyacinth biocontrol,2016,journal of applied remote sensing,10,4,42002,10.1117/1.jrs.10.042002,Y,article
AGUI2003,"aguilar, josé angel; camarena, ovidio m.; center, ted d.; bojórquez, germán","biological control of waterhyacinth in sinaloa, mexico with the weevils neochetina eichhorniae and n. bruchi",2003,biocontrol,48,5,595–608,10.1023/a:1025707603627,Y,article
AGUI2005,"aguiar, francisca c.; ferreira, m. teresa; albuquerque, antónio; bernez, ivan",invasibility patterns of knotgrass (paspalum distichum) in portuguese riparian habitats,2005,weed technology,19,3,509–516,10.1614/wt-04-080r.1,Y,article
AGUI2010,"aguilera, anna g.; alpert, peter; dukes, jeffrey s.; harrington, robin",impacts of the invasive plant fallopia japonica (houtt.) on plant communities and ecosystem processes,2010,biological invasions,12,5,1243–1252,10.1007/s10530-009-9543-z,Y,article
AGUI2012,"aguiar, joão m.r.b.v.; pansarin, ludmila m.; ackerman, james d.; pansarin, emerson r.",biotic versus abiotic pollination in oeceoclades maculata (lindl.) lindl. (orchidaceae),2012,plant species biology,27,1,86–95,10.1111/j.1442-1984.2011.00330.x,Y,article
AGUI2014A,"aguiar, agnaldo; barbosa, reinaldo i.; barbosa, josé b.f.; mourão, moisés",invasion of acacia mangium in amazonian savannas following planting for forestry,2014,plant ecology & diversity,7,20200102,359–369,10.1080/17550874.2013.771714,Y,article
AGUI2014B,"aguirre-acosta, natalia; kowaljow, esteban; aguilar, ramiro",reproductive performance of the invasive tree ligustrum lucidum in a subtropical dry forest: does habitat fragmentation boost or limit invasion?,2014,biological invasions,16,7,1397-1410,10.1007/s10530-013-0577-x,Y,article
AGUI2015A,"aguilera, narciso; becerra, jose; guedes, lubia m; villaseñor-parada, cristobal; gonzález, luis; hernández, víctor",allelopathic effect of the invasive acacia dealbata link (fabaceae) on two native plant species in south-central chile/efecto alelopático de la invasora acacia dealbata link (fabaceae) en dos especies de plantas nativas del centro-sur de chile,2015,gayana. botánica,72,2,231,,Y,article
AGUI2015B,"aguilera, narciso; sanhueza, carolina; guedes, lubia m.; becerra, josé; carrasco, sebastián; hernández, víctor",does acacia dealbata express shade tolerance in mediterranean forest ecosystems of south america,2015,ecology and evolution,5,16,3338-3351,10.1002/ece3.1606,Y,article
AGUI2015C,"aguilera, n.; becerra, j.; villaseñor-parada, c.; lorenzo, p.; gonzález, l.; hernández, v.",effects and identification of chemical compounds released from the invasive acacia dealbata link,2015,chemistry and ecology,31,6,479–493,10.1080/02757540.2015.1050004,Y,article
AGUI2015D,"aguilera, narciso; guedes, lubia m.; becerra, josé; baeza, carlos; hernández, víctor",morphological effects at radicle level by direct contact of invasive acacia dealbata link,2015,"flora - morphology, distribution, functional ecology of plants",215,,54–59,10.1016/j.flora.2015.07.007,Y,article
AGYE2016,"agyeman, victor k.; addo-danso, shalom d.; kyereh, boateng; abebrese, isaac k.",vegetation assessment of native tree species in broussonetia papyrifera-dominated degraded forest landscape in southern ghana,2016,applied vegetation science,19,3,498–507,10.1111/avsc.12241,Y,article
AHLE2020,"ahlering, m; carlson, d; vacek, s; jacobi, s; hunt, v; stanton, jc; knutson, mg; lonsdorf, e",cooperatively improving tallgrass prairie with adaptive management,2020,ecosphere,11,4,e03095,10.1002/ecs2.3095,Y,article
AHMA2008,"ahmad, riaz; liow, pui sze; spencer, david f.; jasieniuk, marie",molecular evidence for a single genetic clone of invasive arundo donax in the united states,2008,aquatic botany,88,2,113–120,10.1016/j.aquabot.2007.08.015,Y,article
AHREN2011,"ahrens, collin; ecker, geoffrey; auer, carol",the intersection of ecological risk assessment and plant communities: an analysis of agrostis and panicum species in the northeastern u.s.,2011,plant ecology,212,10,1629–1642,10.1007/s11258-011-9936-9,Y,article
AI2016,"ai, jinquan; gao, wei; gao, zhiqiang; shi, runhe; zhang, chao; liu, chaoshun",errata: integrating pan-sharpening and classifier ensemble techniques to map an invasive plant (spartina alterniflora) in an estuarine wetland using landsat 8 imagery,2016,journal of applied remote sensing,10,2,29901,10.1117/1.jrs.10.029901,Y,article
AIGN2011,"aigner, paul a.; woerly, rhett j.",herbicides and mowing to control barb goatgrass (aegilops triuncialis) and restore native plants in serpentine grasslands,2011,invasive plant science and management,4,4,448–457,10.1614/ipsm-d-11-00027.1,Y,article
AIKE1979,"aiken, s. g.; newroth, p. r.; wile, i.",the biology of canadian weeds.: 34. myriophyllum spicatum l.,1979,canadian journal of plant science,59,1,201–215,10.4141/cjps79-028,Y,article
AKAM2011,"akamatsu, fumikazu; ide, koichi; shimano, koji; toda, hideshige",nitrogen stocks in a riparian area invaded by n-fixing black locust (robinia pseudoacacia l.),2011,landscape and ecological engineering,7,1,109–115,10.1007/s11355-010-0125-0,Y,article
AKAM2014,"akamatsu, fumikazu; makishima, midori; taya, yuki; nakanishi, satoru; miwa, junji","evaluation of glyphosate application in regulating the reproduction of riparian black locust (robinia pseudoacacia l.) after clear-cutting, and the possibility of leaching into soil",2014,landscape and ecological engineering,10,1,47–54,10.1007/s11355-013-0215-x,Y,article
AKAS2007,"akasaka, munemitsu; tsuyuzaki, shiro; hase, akira",annual growth of invasive larix kaempferi seedlings with reference to microhabitat and ectomycorrhizal colonization on a volcano,2007,journal of plant research,120,2,329–336,10.1007/s10265-006-0052-1,Y,article
AKAS2015,"akasaka, munemitsu; osawa, takeshi; ikegami, makihiko",the role of roads and urban area in occurrence of an ornamental invasive weed: a case of rudbeckia laciniata l,2015,urban ecosystems,18,3,1021–1030,10.1007/s11252-015-0466-4,Y,article
AKAT2012,"akatov, v. v.; akatova, t. v.; shadzhe, a. e.",species richness of tree and shrub layers in riparian forests of the western caucasus dominated by alien species,2012,russian journal of ecology,43,4,294–301,10.1134/s1067413612040030,Y,article
AKHT2014,"akhtar, shamim; bangash, nazneen; asghar, rehana; munir, mubashrah; khalid, nauman",allelopathic assessment of selected invasive species of pakistan,2014,pakistan journal of botany,46,5,1709–1713,,Y,article
AL-A2006,"al-ahmad, hani; dwyer, jennice; moloney, maurice; gressel, jonathan",mitigation of establishment of brassica napus transgenes in volunteers using a tandem construct containing a selectively unfit gene,2006,plant biotechnology journal,4,1,7–21,10.1111/j.1467-7652.2005.00152.x,Y,article
ALBA2010,"alba-lynn, christina; henk, shanna",potential for ants and vertebrate predators to shape seed-dispersal dynamics of the invasive thistles cirsium arvense and carduus nutans in their introduced range (north america),2010,plant ecology,210,2,291–301,10.1007/s11258-010-9757-2,Y,article
ALBA2011,"alba, christina; bowers, m. deane; blumenthal, dana; hufbauer, ruth",evolution of growth but not structural or chemical defense in verbascum thapsus (common mullein) following introduction to north america,2011,biological invasions,13,10,2379–2389,10.1007/s10530-011-0050-7,Y,article
ALBA2012,"alba, christina; hufbauer, ruth","exploring the potential for climatic factors, herbivory, and co-occurring vegetation to shape performance in native and introduced populations of verbascum thapsus",2012,biological invasions,14,12,2505–2518,10.1007/s10530-012-0247-4,Y,article
ALBA2013,"alba, christina; prioreschi, ryan; quintero, carolina",population and leaf-level variation of iridoid glycosides in the invasive weed verbascum thapsus l. (common mullein): implications for herbivory by generalist insects,2013,chemoecology,23,2,83–92,10.1007/s00049-012-0121-y,Y,article
ALBA2016,"alba, christina; moravcová, lenka; pyšek, petr","geographic structuring and transgenerational maternal effects shape germination in native, but not introduced, populations of a widespread plant invader",2016,american journal of botany,103,5,837–844,10.3732/ajb.1600099,Y,article
ALBE2013,"albert, arnaud; brisson, jacques; dubé, jean; lavoie, claude",do woody plants prevent the establishment of common reed along highways? insights from southern quebec,2013,invasive plant science and management,6,4,585-592,10.1614/ipsm-d-13-00025.1,Y,article
ALBE2014A,"alberio, constanza; comparatore, viviana",patterns of woody plant invasion in an argentinean coastal grassland,2014,acta oecologica,54,,65–71,10.1016/j.actao.2013.09.003,Y,article
ALBE2015,"albert, arnaud; brisson, jacques; belzile, françois; turgeon, julie; lavoie, claude",strategies for a successful plant invasion: the reproduction of phragmites australis in north-eastern north america,2015,journal of ecology,103,6,1529–1537,10.1111/1365-2745.12473,Y,article
ALBR2004,"albright, matthew f.; harman, willard n.; fickbohm, scott s.; meehan, holly; groff, sarah; austin, tavis",recovery of native flora and behavioral responses by galerucella spp. following biocontrol of purple loosestrife,2004,the american midland naturalist,152,2,248–254,10.1674/0003-0031(2004)152[0248:ronfab]2.0.co;2,Y,article
ALBR2009,"albright, thomas p.; anderson, dean p.; keuler, nicholas s.; pearson, scott m.; turner, monica g.","the spatial legacy of introduction: celastrus orbiculatus in the southern appalachians, usa",2009,journal of applied ecology,46,6,1229–1238,10.1111/j.1365-2664.2009.01707.x,Y,article
ALBR2010,"albright, thomas p.; chen, hao; chen, lijun; guo, qinfeng",the ecological niche and reciprocal prediction of the disjunct distribution of an invasive species: the example of ailanthus altissima,2010,biological invasions,12,8,2413–2427,10.1007/s10530-009-9652-8,Y,article
ALDO2019,"aldorfová, anna; münzbergová, zuzana",conditions of plant cultivation affect the differences in intraspecific plant-soil feedback between invasive and native dominants,2019,flora,261,,151492,10.1016/j.flora.2019.151492,Y,article
ALDO2020,"aldorfova, a; knobova, p; munzbergova, z",plant-soil feedback contributes to predicting plant invasiveness of 68 alien plant species differing in invasive status,2020,oikos,129,8,1257-1270,10.1111/oik.07186,Y,article
ALER2013,"alerding, anne b.; hunter, roy m.",increased springtail abundance in a garlic mustard-invaded forest,2013,northeastern naturalist,20,2,275–288,10.1656/045.020.0205,Y,article
ALEX2003,"alexander, janice m.; d'antonio, carla m.",seed bank dynamic of french broom in coastal california grasslands: effects of stand age and prescribed burning on control and restoration,2003,restoration ecology,11,2,185–197,10.1046/j.1526-100x.2003.00169.x,Y,article
ALEX2012,"alexander, jake m.; kleunen, mark; ghezzi, reto; edwards, peter j.",different genetic clines in response to temperature across the native and introduced ranges of a global plant invader,2012,journal of ecology,100,3,771–781,10.1111/j.1365-2745.2011.01951.x,Y,article
ALHA2014,"harun, md abdullah yousuf al; robinson, randall w.; johnson, joshua; uddin, md nazim",allelopathic potential of chrysanthemoides monilifera subsp. monilifera (boneseed): a novel weapon in the invasion processes,2014,south african journal of botany,93,,157–166,10.1016/j.sajb.2014.04.008,Y,article
ALHA2015,"harun, md abdullah yousuf al; johnson, joshua; robinson, randall w.",the contribution of volatilization and exudation to the allelopathic phytotoxicity of invasive chrysanthemoides monilifera subsp. monilifera (boneseed),2015,biological invasions,17,12,3609–3624,10.1007/s10530-015-0983-3,Y,article
ALI2006,"ali, magdi m.; soltan, mohamed a.","expansion of myriophyllum spicatum (eurasian water milfoil) into lake nasser, egypt: invasive capacity and habitat stability",2006,aquatic botany,84,3,239–244,10.1016/j.aquabot.2005.11.002,Y,article
ALI2015,"ali, jonathan; lieurance, deah; cipollini, don",soil biota affect mycorrhizal infection and growth of impatiens capensis and alter the effects of lonicera maackii rhizosphere extracts 1,2015,the journal of the torrey botanical society,142,1,1–11,10.3159/torrey-d-14-00009.1,Y,article
ALL_2006,"allen, craig r.; garmestani, ahjond s.; labram, jill a.; peck, amanda e.; prevost, luanna b.",when landscaping goes bad: the incipient invasion of mahonia bealei in the southeastern united states,2006,biological invasions,8,2,169-176,10.1007/s10530-004-2896-4,Y,article
ALLA2010,"allana, brian f.; dutra, humberto p.; goessling, lisa s.; barnett, kirk; chasea, jonathan m.; marquis, robert j.; pang, genevieve; storch, gregory a.; thach, robert e.; orrock, john l.",invasive honeysuckle eradication reduces tick-borne disease risk by altering host dynamics,2010,proceedings of the national academy of sciences,107,43,18523–18527,10.1073/pnas.1008362107,N,article
ALLE1984,"allen, edith bach; knight, dennis h.","the effects of introduced annuals on secondary succession in sagebrush-grassland, wyoming",1984,the southwestern naturalist,29,4,407,10.2307/3670993,Y,article
ALLE1989,"allen, r. b.; lee, w. g.","seedling establishment microsites of exotic conifers in chionochloa rigida tussock grassland, otago, new zealand",1989,new zealand journal of botany,27,4,491–498,10.1080/0028825x.1989.10414133,Y,article
ALLE1992,"allen, r. b.; wilson, j. b.","fruit and seed production in berberis darwinii hook., a shrub recently naturalised in new zealand",1992,new zealand journal of botany,30,1,45–55,10.1080/0028825x.1992.10412884,Y,article
ALLE1998,"allen, james a.",mangroves as alien species: the case of hawaii,1998,global ecology and biogeography letters,7,1,61–71,10.2307/2997698,Y,article
ALLE2012,"allen, jenica m.; obae, samuel g.; brand, mark h.; silander, john a.; jones, kenneth l.; nunziata, schyler o.; lance, stacey l.",development and characterization of microsatellite markers for berberis thunbergii (berberidaceae),2012,american journal of botany,99,5,220– 222,10.3732/ajb.1100530,Y,article
ALLE2014,"allen, phil s.; meyer, susan e.",community structure affects annual grass weed invasion during restoration of a shrub–steppe ecosystem,2014,invasive plant science and management,7,1,1–13,10.1614/ipsm-d-13-00021.1,Y,article
ALLE2015A,"allen, aarin conrad; keith, edward o.",using the west-indian manatee (trichechus manatus) as a mechanism for invasive aquatic plant management in florida,2015,journal of aquatic plant management,53,January,95–104,,Y,article
ALLE2015B,"allen, warwick j.; young, randee e.; bhattarai, ganesh p.; croy, jordan r.; lambert, adam m.; meyerson, laura a.; cronin, james t.",multitrophic enemy escape of invasive phragmites australis and its introduced herbivores in north america,2015,biological invasions,17,12,3419–3432,10.1007/s10530-015-0968-2,Y,article
ALLE2020,"allen, et; powers, ke; small, cj; wieboldt, tf",noteworthy collections: county additions to the virginia flora vouchered at the radford university herbarium,2020,castanea,85,1,14,10.2179/0008-7475.85.1.14,Y,article
ALLI2006,"allison, steven d.; nielsen, caroline; hughes, r. flint",elevated enzyme activities in soils under the invasive nitrogen-fixing tree falcataria moluccana,2006,soil biology and biochemistry,38,7,1537–1544,10.1016/j.soilbio.2005.11.008,N,article
ALLR2010,"allred, brady w.; fuhlendorf, samuel d.; monaco, thomas a.; will, rodney e.",morphological and physiological traits in the success of the invasive plant lespedeza cuneata,2010,biological invasions,12,4,739–749,10.1007/s10530-009-9476-6,Y,article
ALME2006,"almeida, ana s.; gonçalves, ana m.m.; pereira, joana l.; gonçalves, fernando",the impact of eichhornia crassipes on green algae and cladocerans,2006,fresenius environmental bulletin,15,0,1531–1538,,N,article
ALME2015,"almeida, walkiria r.; lopes, ariadna v.; tabarelli, marcelo; leal, inara r.",the alien flora of brazilian caatinga: deliberate introductions expand the contingent of potential invaders,2015,biological invasions,17,1,51–56,10.1007/s10530-014-0738-6,Y,article
ALMQ2010,"almquist, travis l.; lym, rodney g.",effect of aminopyralid on canada thistle (cirsium arvense) and the native plant community in a restored tallgrass prairie,2010,invasive plant science and management,3,2,155–168,10.1614/ipsm-d-09-00019.1,Y,article
ALMQ2015,"almquist, travis l.; wirt, katie l.; adams, jason w.; lym, rodney g.",adaptive development of yellow toadflax (linaria vulgaris) chemical control recommendations,2015,invasive plant science and management,8,3,276–283,10.1614/ipsm-d-14-00082.1,Y,article
ALOF2010,"alofs, karen m.; fowler, norma l.",habitat fragmentation caused by woody plant encroachment inhibits the spread of an invasive grass,2010,journal of applied ecology,47,2,338–347,10.1111/j.1365-2664.2010.01785.x,Y,article
ALOF2013,"alofs, karen m.; fowler, norma l.",loss of native herbaceous species due to woody plant encroachment facilitates the establishment of an invasive grass,2013,ecology,94,3,751–760,10.1890/12-0732.1,Y,article
ALOI2020,"aloisio, jm; palmer, mi; tuininga, ar; lewis, jd",introduced and native plant species composition of vacant unmanaged green roofs in new york city,2020,urban ecosystems,23,1,1227-1238,10.1007/s11252-020-00992-6,Y,article
ALON2020,"alonso, a; de aldana, brv; castro-diez, p; medina-villar, s; perez-corona, me",effects of leaf litter extracts from four tree species on aquatic invertebrates: an ecotoxicological risk assessment approach,2020,aquatic ecology,54,4,1155-1168,10.1007/s10452-020-09800-x,Y,article
ALTA2015,"altay, v; ozyigit, ii; osma, e; bakir, y; demir, g; severoglu, z; yarci, c; others",environmental relationships of the vascular flora alongside the railway tracks between haydarpaşa and gebze (istanbul-kocaeli/turkey),2015,journal of environmental biology,36,1,153–162,,Y,article
ALTA2016,"altamirano, adison; cely, jenny paola; etter, andrés; miranda, alejandro; fuentes-ramirez, andres; acevedo, patricio; salas, christian; vargas, rodrigo",the invasive species ulex europaeus (fabaceae) shows high dynamism in a fragmented landscape of south-central chile,2016,environmental monitoring and assessment,188,8,495,10.1007/s10661-016-5498-6,Y,article
ALVA2002,"alvarez, maria e.; cushman, j. hall",community-level consequences of a plant invasion: effects on three habitats in coastal california,2002,ecological applications,12,5,1434–1444,10.1890/1051-0761(2002)012[1434:clcoap]2.0.co;2,Y,article
AMIA2008,"amiaud, bernard; touzard, blaise; bonis, anne; bouzillé, jan-bernard","after grazing exclusion, is there any modification of strategy for two guerrilla species: elymus repens (l.) gould and agrostis stolonifera (l.)?",2008,plant ecology,197,1,107-117,10.1007/s11258-007-9364-z,N,article
